Coilnr;Date;Direction;Type;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
43317482;24/02/2021;T;I20;1,016;695;1049;95;741;25090;2710;113;8;1618;286;3005;238;;972;129;0,2;3,1055;181,3953488;-54,08076923;81,39534884;785;458
43317772;25/02/2021;L;I20;0,809;665;980;115;743;25530;2650;113;6;1479;228;3004;246;;978;130;0,189;3,1279;180;-64,66666667;80,76923077;790;402
43317772;25/02/2021;L;I20;0,805;702;1032;100;743;25530;2650;113;6;1479;228;3004;246;;978;124;0,2;3,0272;188,7096774;-62,46823354;84,67741935;790;397,05466
43317765;25/02/2021;L;I20;0,806;665;980;115;726;25070;2551;121;3;1584;256;2995;238;;961;130;0,2;3,1279;180;-64,66666667;80,76923077;790;402
43353428;26/02/2021;L;I20;1,001;762;1020;95;743;25440;2516;101;35;1522;244;3112;241;;920;126;0,289;3,1648;185,7142857;-53,79230769;83,33333333;795;462
43376106;26/02/2021;L;I20;1,23;678;991;121;717;25280;2519;124;8;1551;246;3020;243;;956;124;0,2;3,0127;188,7096774;-61,51040985;84,67741935;790;403,07968
43376106;26/02/2021;L;I20;1,223;696;999;114;717;25280;2519;124;8;1551;246;3020;243;;956;117;0,189;2,8289;200;-58,95;89,74358974;791;398
43376090;26/02/2021;L;I20;1,222;696;999;114;717;25280;2519;124;8;1551;246;3020;243;;956;117;0,189;2,8289;200;-59,1;89,74358974;791;397
43376113;26/02/2021;L;I20;1,22;678;991;121;721;25290;2526;125;7;1548;247;3020;244;;953;118;0,189;2,9638;198,3050847;-59,3025641;88,98305085;790;398
43376137;26/02/2021;L;I20;1,22;693;991;114;721;25290;2526;125;7;1548;247;3020;244;;953;112;0,2;2,7474;208,9285714;-56,43076923;93,75;791;398
43376137;26/02/2021;L;I20;1,222;713;1005;109;721;25290;2526;125;7;1548;247;3020;244;;953;117;0,2;2,8151;200;-58,5836145;89,74358974;790,55743;400
43376151;26/02/2021;L;I20;1,2197485;666;984;120;756;25100;2467;106;14;1589;229;3023;239;;920;99;0,20412575;2,4401;236,3636364;-50,45720308;106,0606061;791;393,4584
43990955;26/03/2021;L;I20;0,913;701;1019;106;788;25420;3104;117;3;1498;250;2995;240;;960;139;0,189;3,4261;168,3453237;-69,5;75,53956835;790;400
43991055;26/03/2021;L;I20;0,903;701;1000;92;725;25680;2575;133;5;1578;274;2968;247;;933;139;0,19403483;3,4988;168,3453237;-69,14358974;75,53956835;790;402
43991130;26/03/2021;L;I20;0,902;698;1009;85;718;25568;2565;127;5;1553;268;2967;245;;933;139;0,189;3,4948;168,3453237;-69,07899751;75,53956835;790;402,36246
43991130;26/03/2021;L;I20;0,916;708;1015;109;718;25568;2565;127;5;1553;268;2967;245;;933;139;0,2;3,5076;168,3453237;-69,32179487;75,53956835;790;401
43991161;26/03/2021;L;I20;0,906;684;994;118;719;25500;2516;116;3;1546;264;2963;247;;938;139;0,189;3,4424;168,3453237;-69,37347079;75,53956835;790;400,71002
43991154;26/03/2021;L;I20;0,916;691;989;115;704;25660;2542;114;2;1566;265;2972;250;;937;139;0,2;3,3934;168,3453237;-69,85641026;75,53956835;791;399
44467780;14/04/2021;T;I20;1,014;731;1058;95;773;25490;2530;117;2;1422;233;3027;238;;933;109;0,259;5,6193;214,6788991;-45,75230282;96,33027523;785;457,5982
44467803;14/04/2021;T;I20;1,001;706;1035;118;751;25324;2554;121;9;1483;237;3009;239;;949;109;0,25;2,6227;214,6788991;-45,13717949;96,33027523;785;462
44467834;14/04/2021;L;I20;1,016;736;1005;102;726;25300;2477;116;6;1622;223;2999;255;;977;109;0,289;2,8146;214,6788991;-47,09358974;96,33027523;795;458
44467834;14/04/2021;L;I20;1,016;738;1018;113;726;25300;2477;116;6;1622;223;2999;255;;977;109;0,25;2,5971;214,6788991;-45,69615385;96,33027523;790;463
44467872;14/04/2021;L;I20;0,893;675;920;60;713;25380;2639;117;1;1627;221;3020;240;;946;99;0,3;2,6609;236,3636364;-42,13846154;106,0606061;795;463
44467889;14/04/2021;L;I20;0,9179901;689;951;86;696;25323;2606;115;2;1621;198;2992;242;;976;101;0,289;2,5606;231,6831683;-43,11923077;103,960396;795;462
44467889;14/04/2021;L;I20;0,904;704;978;124;696;25323;2606;115;2;1621;198;2992;242;;976;99;0,289;2,6261;236,3636364;-42,39230769;106,0606061;795;461
44467919;14/04/2021;L;I20;0,93;732;1006;101;798;25420;2514;114;4;1464;219;2977;240;;943;101;0,3;2,2286;231,6831683;-43,37820513;103,960396;795;460
44467933;14/04/2021;L;I20;1,008;721;986;123;733;25580;2519;119;14;1518;210;3019;234;;915;101;0,289;2,5606;231,6831683;-43,37820513;103,960396;795;460
44467926;14/04/2021;L;I20;1,023;701;970;111;716;25487;2548;115;8;1510;239;2990;241;;928;101;0,289;2,5487;231,6831683;-43,11923077;103,960396;795;462
44467926;14/04/2021;L;I20;0,9228464;713;970;75;716;25487;2548;115;8;1510;239;2990;241;;928;101;0,3;2,5724;231,6831683;-43,01463879;103,960396;795;462,80774
44467957;14/04/2021;L;I20;1,000966;732;1004;112;767;25300;2644;129;5;1612;227;2992;235;;942;101;0,34;2,4539;231,6831683;-43,37820513;103,960396;796;461
44467964;14/04/2021;L;I20;1,019;724;992;112;761;25480;2662;116;4;1535;297;3021;245;;902;100;0,349;2,5822;234;-42,94871795;105;795;460
44467971;14/04/2021;L;I20;1,016;735;1005;108;781;25100;2521;133;0;1632;230;2965;234;;946;98;0,33;2,2200;238,7755102;-42,34102564;107,1428571;797;460
44467988;14/04/2021;L;I20;1,004;740;1009;97;759;25390;2678;124;5;1620;223;2990;236;;937;99;0,319;2,3472;236,3636364;-42,9;106,0606061;797;459
44467988;14/04/2021;L;I20;1,004;759;1018;108;759;25390;2678;124;5;1620;223;2990;236;;937;99;0,319;2,3472;236,3636364;-42,9;106,0606061;797;459
44468002;14/04/2021;L;I20;1,1795899;747;1017;108;782;25280;2512;132;0;1698;236;2954;236;;947;106;0,3;2,6251;220,754717;-45,93333333;99,05660377;795;457
44468002;14/04/2021;L;I20;1,179;753;1012;108;782;25280;2512;132;0;1698;236;2954;236;;947;107;0,3;2,6624;218,6915888;-45,54358974;98,13084112;795;463
44468019;14/04/2021;L;I20;1,182;722;1002;125;782;25280;2512;132;0;1698;236;2954;236;;947;114;0,289;2,8232;205,2631579;-48,37692308;92,10526316;795;464
44468019;14/04/2021;L;I20;1,18;747;1017;108;782;25280;2512;132;0;1698;236;2954;236;;947;105;0,289;2,6127;222,8571429;-45,23076923;100;795;459
44468026;14/04/2021;L;I20;1,179;722;1002;125;772;25400;2679;126;4;1610;225;2989;238;;940;107;0,3;2,7755;218,6915888;-46,50384615;98,13084112;795;456
44468026;14/04/2021;L;I20;1,179;754;1018;112;772;25400;2679;126;4;1610;225;2989;238;;940;107;0,289;2,6373;218,6915888;-46,22948718;98,13084112;795;458
44468033;14/04/2021;L;I20;1,179;754;1018;112;761;25140;2501;125;0;1669;233;2960;242;;980;106;0,289;2,6376;220,754717;-45,7974359;99,05660377;795;458
44468057;14/04/2021;L;I20;1,2009345;718;984;118;743;25232;2582;107;4;1451;259;3043;249;;923;108;0,33;2,8521;216,6666667;-46,10769231;97,22222222;794;461
44468057;14/04/2021;L;I20;1,174;735;1001;113;743;25232;2582;107;4;1451;259;3043;249;;923;106;0,36;2,5485;220,754717;-43,73788308;99,05660377;794;472,1552
44468088;14/04/2021;L;I20;1,207;759;1029;104;762;25270;2488;116;5;1524;217;2969;247;;982;110;0,3;2,8563;212,7272727;-46,96153846;95,45454545;795;462
44468125;14/04/2021;T;I20;1,226821;714;1016;96;749;25264;2494;106;5;1465;223;2979;233;;937;116;0,2;2,8047;201,7241379;-48,77948718;90,51724138;785;457
44468118;14/04/2021;T;I20;1,223;697;1027;107;749;25264;2494;106;5;1465;223;2979;233;;937;116;0,2;2,8047;201,7241379;-48,77948718;90,51724138;785;457
44468118;14/04/2021;T;I20;1,2255358;714;1016;96;749;25264;2494;106;5;1465;223;2979;233;;937;116;0,3;2,9817;201,7241379;-48,77948718;90,51724138;793;465
44468149;14/04/2021;T;I20;1,223;683;1013;110;724;25240;2493;113;1;1505;222;2955;238;;923;116;0,2;2,8183;201,7241379;-48,25455;90,51724138;785;460,52975
44468194;14/04/2021;L;I20;1,22;770;1038;109;773;25220;2489;115;4;1501;218;2966;246;;982;114;0,3;2,9169;205,2631579;-49,25384615;92,10526316;795;458
44468217;14/04/2021;L;I20;1,22;728;1023;121;773;25220;2489;115;4;1501;218;2966;246;;982;115;0,3;2,9020;203,4782609;-49,18828359;91,30434783;795;461,37512
44468231;14/04/2021;T;I20;1,225;712;1024;103;750;25260;2495;107;5;1465;223;2979;234;;937;117;0,3;2,8426;200;-50,4;89,74358974;793;457
44468248;15/04/2021;T;I20;1,222;712;1024;103;750;25260;2495;107;5;1465;223;2979;234;;937;96;0,2;2,3775;243,75;-40,36923077;109,375;785;457
44468262;15/04/2021;L;I20;0,901;743;1010;85;744;25490;2531;103;7;1498;226;2991;238;;943;124;0,289;3,1873;188,7096774;-53,0974359;84,67741935;795;461
44468279;15/04/2021;L;I20;0,898;760;1040;98;769;25590;2609;109;5;1468;241;2935;230;;924;130;0,294887;3,3110;180;-56,24413333;80,76923077;795;457,5352
44487656;15/04/2021;L;I20;0,9108304;740;1031;101;773;25220;2489;115;4;1501;218;2966;246;;982;118;0,3;4,9859;198,3050847;-50,51965013;88,98305085;795;461,05655
44487656;15/04/2021;L;I20;0,91;767;1048;99;773;25220;2489;115;4;1501;218;2966;246;;982;130;0,29564172;3,2408;180;-56,16666667;80,76923077;795;458
44487717;15/04/2021;T;I20;1,22;687;1020;101;724;25240;2493;113;1;1505;222;2955;238;;923;119;0,1993002;2,9890;196,6386555;-49,43076923;88,23529412;784;460
44487724;15/04/2021;T;I20;1,2212671;666;999;109;724;25240;2493;113;1;1505;222;2955;238;;923;119;0,2;2,9890;196,6386555;-49,43076923;88,23529412;784;460
44487762;15/04/2021;L;I20;1,222;703;1003;112;732;25180;2649;98;6;1556;261;3005;234;;974;99;0,2;2,3356;236,3636364;-49,37307692;106,0606061;793;404
44487786;15/04/2021;L;I20;1,223;670;981;127;748;25253;2590;106;4;1509;230;2987;237;;914;116;0,2;2,9545;201,7241379;-58,44615385;90,51724138;791;398
44487786;15/04/2021;L;I20;1,223;680;986;120;748;25253;2590;106;4;1509;230;2987;237;;914;116;0,2;2,9545;201,7241379;-58,44615385;90,51724138;791;398
44487793;15/04/2021;L;I20;1,223;680;986;120;748;25253;2590;106;4;1509;230;2987;237;;914;116;0,2;2,9545;201,7241379;-58,44615385;90,51724138;791;398
44864853;29/04/2021;L;I20;1,184;747;1009;111;759;25390;2678;124;5;1620;223;2990;236;;937;109;0,3;2,7071;214,6788991;-47,37307692;96,33027523;796;457
44864860;29/04/2021;L;I20;1,213;763;1012;101;715;25090;2521;118;10;1469;253;3053;236;;950;114;0,28;2,9035;205,2631579;-48,37546885;92,10526316;795;464,00995
44864884;29/04/2021;L;I20;1,215219;772;1018;103;747;25300;2533;119;7;1549;247;3071;238;;957;111;0,28918535;2,7882;210,8108108;-46,67692308;94,59459459;795;467
44864921;29/04/2021;L;I20;1,218;772;1032;104;755;25750;2694;114;0;1780;267;2934;236;;911;111;0,289;2,8271;210,8108108;-47,95769231;94,59459459;795;458
44864983;29/04/2021;L;I20;1,019;744;1000;107;707;25200;2559;132;5;1425;211;3056;252;;950;131;0,289;3,3519;178,6259542;-55,75897436;80,15267176;794;462
44865007;29/04/2021;L;I20;1,0219607;732;999;116;710;25135;2558;126;2;1482;212;3100;241;;954;129;0,289;3,3007;181,3953488;-55,23846154;81,39534884;795;461
44865014;29/04/2021;L;I20;1,0065471;723;1000;114;710;25142;2558;124;1;1497;212;3103;240;;954;139;0,3;3,6663;168,3453237;-59,34230769;75,53956835;795;462
45590450;27/05/2021;L;I20;1,121;728;1048;111;784;25690;3080;104;18;1620;223;3020;239;;972;129;0,2;3,3764;181,3953488;-64,37938831;81,39534884;790;400,72928
45606920;27/05/2021;L;I20;0,92;697;990;110;746;25460;2516;100;35;1520;245;3111;241;;924;102;0,189;2,5462;229,4117647;-51,39230769;102,9411765;791;398
45606944;27/05/2021;L;I20;1,2220179;697;993;111;726;25380;2468;119;15;1634;211;2973;238;;930;116;0,189;3,0089;201,7241379;-58;90,51724138;791;401
45606999;27/05/2021;L;I20;1,019;689;985;76;711;25320;2582;115;9;1840;241;3004;233;;964;135;0,189;3,2799;173,3333333;-67,32692308;77,77777778;790;401
45607051;27/05/2021;L;I20;1,016;690;993;101;711;25320;2582;115;9;1840;241;3004;233;;964;135;0,2;3,3592;173,3333333;-67,5;77,77777778;790;400
45607082;27/05/2021;L;I20;1,019;685;988;110;731;25450;2480;119;15;1700;211;2968;236;;930;105;0,189;2,5634;222,8571429;-54,11538462;100;790;388
45607136;27/05/2021;L;I20;0,811;725;998;105;724;25500;2517;122;10;1643;226;2974;241;;921;139;0,3;3,4668;168,3453237;-59,52139315;75,53956835;795;460,99506
45607150;27/05/2021;L;I20;1,0158732;754;1013;111;758;25420;2514;121;5;1594;223;2984;237;;932;123;0,3;3,6669;190,2439024;-52,03846154;85,36585366;794;464
45607167;27/05/2021;T;I20;1,029;666;1029;103;739;25400;2548;121;7;1724;235;2973;239;;923;126;0;3,2831;185,7142857;-52,82307692;83,33333333;792;465
45607228;27/05/2021;L;I20;1,021;724;980;87;711;25320;2582;115;9;1840;241;3004;233;;964;107;0,289;2,7252;218,6915888;-45,68076923;98,13084112;795;462
45607396;27/05/2021;L;I20;0,896;750;1018;106;748;25100;2569;109;24;1519;221;2972;241;;952;132;0,2983756;3,3155;177,2727273;-56,98078692;79,54545455;795;458,29535
45607570;28/05/2021;T;I20;1,214958;751;1048;98;723;25020;2587;106;12;1591;222;2970;240;;964;125;0,23;3,0516;187,2;-53,20512821;84;793;461
45607587;28/05/2021;T;I20;1,22;751;1048;98;723;25020;2587;106;12;1591;222;2970;240;;964;122;0,2;2,9784;191,8032787;-50,98974359;86,06557377;785;459
45607662;28/05/2021;L;I20;1,161;768;1008;106;723;25240;2582;122;8;1620;218;2981;244;;965;117;0,36;2,9799;200;-50,49006;89,74358974;795;458,3996
45607716;28/05/2021;L;I20;1,161;740;1021;93;697;25350;2572;101;10;1492;247;3040;236;;950;113;0,289;2,8383;207,079646;-48,67692308;92,92035398;795;459
45607716;28/05/2021;L;I20;1,162;762;1012;111;697;25350;2572;101;10;1492;247;3040;236;;950;111;0,289;2,8011;210,8108108;-47,83366404;94,59459459;795;458,87155
45607761;28/05/2021;L;I20;1,182;746;1005;118;728;25050;2589;105;30;1465;236;2982;241;;953;111;0,3;2,6968;210,8108108;-47,38846154;94,59459459;794;461
45676877;30/05/2021;L;I20;0,822;711;979;110;701;25270;2543;100;12;1564;234;3013;243;;981;126;0,3;3,0613;185,7142857;-54,6;83,33333333;799;461
